Type,Days for shipping (real),Days for shipment (scheduled),Benefit per order,Sales per customer,Delivery Status,Late_delivery_risk,Category Id,Category Name,Customer City,Customer Country,Customer Fname,Customer Id,Customer Lname,Customer Segment,Customer State,Customer Street,Customer Zipcode,Department Id,Department Name,Latitude,Longitude,Market,Order City,Order Country,Order Customer Id,Order Item Discount,Order Item Discount Rate,Order Item Product Price,Order Item Profit Ratio,Order Item Quantity,Sales,Order Item Total,Order Profit Per Order,Order Region,Order State,Order Status,Product Name,Product Price,Shipping Mode
Transfer,4,1,-759.88,7346.63,On Hold,1,1,Furniture,Shenzhen,China,Jennifer,1155,Moore,Home Office,Shenzhen State,405 Pine St,43029,10,Office Supplies,34.0854,53.2318,Pacific Asia,Mumbai,India,1155,1698.24,0.2,849.12,-0.1119,10,6792.96,6792.96,-759.88,South Asia,Mumbai Province,Complete,Conference Table,849.12,Same Day
Transfer,7,3,83.26,3534.13,Shipped,1,6,Health & Beauty,Busan,South Korea,Susan,1729,Garcia,Consumer,Busan State,289 Pine St,64986,60,Health,22.7121,154.7532,Pacific Asia,Shanghai,China,1729,0.0,0.0,64.88,0.4278,3,194.64,194.64,83.26,Oceania,Shanghai Province,Pending,Electric Toothbrush,64.88,Second Class
Transfer,6,2,51.68,6456.7,Shipped,1,5,Home & Kitchen,Perth,Australia,Daniel,1093,Harris,Consumer,Perth State,218 Pine St,81987,50,Home,-42.9683,-72.0701,Pacific Asia,Brisbane,Australia,1093,14.57,0.05,97.1,0.1868,3,276.73,276.73,51.68,East Asia,Brisbane Province,Complete,Air Fryer,97.1,First Class
Debit,4,3,-84.96,2034.51,Shipped,0,4,Sporting Goods,Córdoba,Argentina,Thomas,1429,Flores,Consumer,Córdoba State,743 Pine St,24125,40,Sports,38.4294,-154.1899,LATAM,Valparaíso,Chile,1429,154.03,0.3,57.05,-0.2364,9,359.41,359.41,-84.96,South America,Valparaíso Province,Closed,Bicycle Helmet,57.05,Second Class
Debit,1,2,11.47,2091.48,Delivered,0,4,Sporting Goods,Houston,United States,Patricia,1372,Williams,Corporate,Houston State,934 Main St,75811,40,Sports,14.2586,5.7179,USCA,Phoenix,United States,1372,3.64,0.05,36.39,0.166,2,69.14,69.14,11.47,North America,Phoenix Province,Pending,Yoga Mat,36.39,First Class
Debit,2,1,888.18,6989.72,Delivered,0,1,Furniture,Brisbane,Australia,Maria,1121,Jackson,Corporate,Brisbane State,204 Main St,69600,10,Office Supplies,-48.0825,-97.884,Pacific Asia,Guangzhou,China,1121,219.15,0.05,626.14,0.2133,7,4163.83,4163.83,888.18,Oceania,Guangzhou Province,On Hold,Standing Desk,626.14,Same Day
Credit,3,1,21.34,3409.88,Shipped,1,3,Apparel,Fukuoka,Japan,Thomas,1145,Flores,Home Office,Fukuoka State,951 Pine St,21551,30,Fashion,-3.2275,-134.0065,Pacific Asia,Brisbane,Australia,1145,0.0,0.0,59.78,0.3569,1,59.78,59.78,21.34,South Asia,Brisbane Province,Complete,Casual Sneakers,59.78,Same Day
Transfer,2,3,6.83,6670.24,Shipped,0,8,Books,Guangzhou,China,Michael,1294,Miller,Corporate,Guangzhou State,996 Cedar St,76248,80,Media,24.8991,-30.8943,Pacific Asia,Daejeon,South Korea,1294,0.0,0.0,32.47,0.2104,1,32.47,32.47,6.83,Oceania,Daejeon Province,Complete,Python Programming,32.47,Second Class
Transfer,1,1,81.62,3259.87,Delivered,0,9,Toys & Games,Brasília,Brazil,Sarah,1727,Williams,Home Office,Brasília State,773 Pine St,86161,90,Toys,2.4632,-21.7367,LATAM,Santiago,Chile,1727,18.9,0.05,75.59,0.2273,5,359.05,359.05,81.62,South America,Santiago Province,Complete,RC Car,75.59,Same Day
Debit,1,1,-176.71,1045.53,Delivered,0,9,Toys & Games,Guadalajara,Mexico,Dorothy,1080,Young,Corporate,Guadalajara State,97 Oak St,25525,90,Toys,12.5495,-28.5008,LATAM,Córdoba,Argentina,1080,262.34,0.3,109.31,-0.2887,8,612.14,612.14,-176.71,Central America,Córdoba Province,Complete,Educational Tablet,109.31,Same Day
Transfer,6,5,149.68,2299.51,Delivered,1,6,Health & Beauty,Montreal,Canada,Ashley,1798,White,Corporate,Montreal State,934 Pine St,90338,60,Health,47.8466,145.0837,USCA,New York,United States,1798,0.0,0.0,98.94,0.3782,4,395.76,395.76,149.68,North America,New York Province,Complete,Hair Dryer Pro,98.94,Standard Class
Credit,4,5,-27.43,2652.89,Delivered,0,10,Garden & Tools,Fukuoka,Japan,William,1578,Hill,Consumer,Fukuoka State,650 Pine St,60747,100,Hardware,55.7523,107.0519,Pacific Asia,Daejeon,South Korea,1578,34.06,0.3,113.52,-0.3452,1,79.46,79.46,-27.43,East Asia,Daejeon Province,Complete,Cordless Drill,113.52,Standard Class
Debit,4,5,21.45,6976.74,Delivered,0,6,Health & Beauty,Busan,South Korea,Matthew,1720,Green,Corporate,Busan State,388 Elm St,58867,60,Health,-58.4152,-52.7271,Pacific Asia,Daegu,South Korea,1720,67.33,0.2,48.09,0.0797,7,269.3,269.3,21.45,Oceania,Daegu Province,On Hold,Face Serum,48.09,Standard Class
Transfer,4,3,62.59,4948.16,Delivered,0,5,Home & Kitchen,Durban,South Africa,Robert,1156,Young,Home Office,Durban State,154 Pine St,50662,50,Home,65.8005,67.4832,Africa,Cape Coast,Ghana,1156,0.0,0.0,105.99,0.2953,2,211.98,211.98,62.59,South Africa,Cape Coast Province,Complete,Air Fryer,105.99,Second Class
Transfer,5,1,23.23,7672.52,Delivered,1,6,Health & Beauty,Nairobi,Kenya,Anthony,1135,Wilson,Home Office,Nairobi State,241 Elm St,83526,60,Health,66.6911,108.2651,Africa,Cape Coast,Ghana,1135,76.82,0.2,38.41,0.0756,10,307.28,307.28,23.23,West Africa,Cape Coast Province,Complete,Protein Powder 2lb,38.41,Same Day
Credit,5,5,-8.33,2384.92,Delivered,0,8,Books,Concepción,Chile,Sarah,1016,Smith,Consumer,Concepción State,961 Pine St,50306,80,Media,-28.8712,-88.1037,LATAM,Medellín,Colombia,1016,44.21,0.15,32.75,-0.0332,9,250.54,250.54,-8.33,South America,Medellín Province,Complete,Python Programming,32.75,Standard Class
Credit,2,2,-6.65,3035.08,Delivered,0,6,Health & Beauty,Pretoria,South Africa,Daniel,1073,Scott,Corporate,Pretoria State,468 Main St,22196,60,Health,-21.7494,-32.5036,Africa,Takoradi,Ghana,1073,31.18,0.3,20.79,-0.0914,5,72.76,72.76,-6.65,West Africa,Takoradi Province,Complete,Vitamin C 1000mg,20.79,First Class
Transfer,3,2,91.11,532.87,Shipped,0,7,Automotive,Ibadan,Nigeria,Linda,1635,Taylor,Corporate,Ibadan State,81 Cedar St,24253,70,Auto Parts,29.1161,32.7778,Africa,Giza,Egypt,1635,22.13,0.05,55.33,0.2167,8,420.51,420.51,91.11,South Africa,Giza Province,Closed,Tire Inflator,55.33,First Class
Credit,3,2,573.99,5419.37,Shipped,0,1,Furniture,Tijuana,Mexico,Jennifer,1717,Taylor,Consumer,Tijuana State,421 Cedar St,38883,10,Office Supplies,-2.0236,-138.5564,LATAM,Puebla,Mexico,1717,0.0,0.0,606.81,0.3153,3,1820.43,1820.43,573.99,Central America,Puebla Province,Complete,Standing Desk,606.81,First Class
Transfer,5,5,-12.14,2674.82,Shipped,0,8,Books,Nakuru,Kenya,Lisa,1658,Nelson,Home Office,Nakuru State,888 Pine St,53904,80,Media,-24.8576,102.7876,Africa,Giza,Egypt,1658,13.64,0.3,22.74,-0.3814,2,31.84,31.84,-12.14,West Africa,Giza Province,Complete,Leadership 101,22.74,Standard Class
Debit,2,3,47.73,6238.8,Delivered,0,8,Books,Busan,South Korea,Matthew,1720,Green,Corporate,Busan State,388 Elm St,58867,80,Media,-58.4152,-52.7271,Pacific Asia,Sydney,Australia,1720,0.0,0.0,48.84,0.1955,5,244.2,244.2,47.73,Oceania,Sydney Province,Complete,Data Science Handbook,48.84,Second Class
Transfer,3,1,8.88,837.33,Delivered,1,6,Health & Beauty,Alexandria,Egypt,Dorothy,1485,Martin,Corporate,Alexandria State,368 Cedar St,85513,60,Health,-47.2968,-124.4797,Africa,Kano,Nigeria,1485,3.72,0.1,37.18,0.2653,1,33.46,33.46,8.88,East Africa,Kano Province,Complete,Protein Powder 2lb,37.18,Same Day
Credit,5,5,-1.98,7547.14,Delivered,0,8,Books,Beijing,China,Jennifer,1538,Davis,Home Office,Beijing State,454 Pine St,11974,80,Media,-38.2432,-76.126,Pacific Asia,Osaka,Japan,1538,9.44,0.15,20.98,-0.0369,3,53.5,53.5,-1.98,South Asia,Osaka Province,Complete,Leadership 101,20.98,Standard Class
Transfer,2,1,-39.12,2725.11,On Hold,0,8,Books,Toronto,Canada,David,1706,Adams,Corporate,Toronto State,99 Main St,61207,80,Media,56.733,-71.9533,USCA,Phoenix,United States,1706,62.47,0.25,41.65,-0.2087,6,187.42,187.42,-39.12,North America,Phoenix Province,Complete,Finance Fundamentals,41.65,Same Day
Debit,6,5,65.11,7557.93,Shipped,0,6,Health & Beauty,Shenzhen,China,Jennifer,1155,Moore,Home Office,Shenzhen State,405 Pine St,43029,60,Health,34.0854,53.2318,Pacific Asia,Sydney,Australia,1155,9.89,0.05,24.73,0.3464,8,187.95,187.95,65.11,South Asia,Sydney Province,Complete,Vitamin C 1000mg,24.73,Standard Class
Credit,2,3,8.63,3088.0,Delivered,0,8,Books,Chicago,United States,Betty,1100,Martin,Home Office,Chicago State,945 Elm St,60604,80,Media,68.4938,99.4138,USCA,Phoenix,United States,1100,24.19,0.1,34.55,0.0396,7,217.66,217.66,8.63,North America,Phoenix Province,Complete,Finance Fundamentals,34.55,Second Class
Debit,1,1,457.25,1084.36,Delivered,0,1,Furniture,Vancouver,Canada,Barbara,1315,Wilson,Home Office,Vancouver State,96 Oak St,82534,10,Office Supplies,18.1299,75.2011,USCA,Ottawa,Canada,1315,0.0,0.0,193.82,0.2949,8,1550.56,1550.56,457.25,North America,Ottawa Province,Closed,Bookshelf Unit,193.82,Same Day
Debit,3,2,18.4,6486.33,Shipped,0,8,Books,Zaragoza,Spain,James,1383,Garcia,Consumer,Zaragoza State,906 Oak St,17553,80,Media,-27.5663,-14.8075,Europe,Madrid,Spain,1383,9.35,0.05,20.77,0.1036,9,177.58,177.58,18.4,Western Europe,Madrid Province,Complete,Leadership 101,20.77,First Class
Credit,6,5,2440.73,1938.46,On Hold,0,2,Technology,Perth,Australia,Richard,1632,Young,Corporate,Perth State,254 Cedar St,41941,20,Electronics,11.2334,161.1232,Pacific Asia,Hyderabad,India,1632,0.0,0.0,1245.3,0.245,8,9962.4,9962.4,2440.73,East Asia,Hyderabad Province,Complete,Laptop 15in,1245.3,Standard Class
Transfer,2,1,-9.46,2287.35,Shipped,0,9,Toys & Games,Brasília,Brazil,Sarah,1118,Brown,Consumer,Brasília State,250 Cedar St,27781,90,Toys,-9.476,-43.8561,LATAM,Medellín,Colombia,1118,14.23,0.3,23.72,-0.2849,2,33.21,33.21,-9.46,Central America,Medellín Province,Complete,Puzzle 1000pc,23.72,Same Day
Credit,8,5,104.88,7681.45,Processing,1,5,Home & Kitchen,Eldoret,Kenya,Karen,1425,Miller,Home Office,Eldoret State,697 Elm St,54676,50,Home,-12.7655,-151.5464,Africa,Kisumu,Kenya,1425,0.0,0.0,73.71,0.2033,7,515.97,515.97,104.88,West Africa,Kisumu Province,On Hold,Blender Pro,73.71,Standard Class
Debit,5,1,-12.7,3611.73,Delivered,1,4,Sporting Goods,Toronto,Canada,Maria,1401,Moore,Consumer,Toronto State,758 Pine St,11845,40,Sports,55.9608,87.3282,USCA,Ottawa,Canada,1401,35.32,0.25,141.28,-0.1199,1,105.96,105.96,-12.7,North America,Ottawa Province,Complete,Fitness Tracker,141.28,Same Day
Transfer,2,3,-46.0,5105.37,Delivered,0,3,Apparel,Lagos,Nigeria,Dorothy,1122,Anderson,Consumer,Lagos State,138 Cedar St,36896,30,Fashion,-51.0807,90.1535,Africa,Ibadan,Nigeria,1122,231.41,0.25,185.13,-0.0663,5,694.24,694.24,-46.0,West Africa,Ibadan Province,Complete,Winter Coat,185.13,Second Class
Debit,4,3,324.17,1711.87,Delivered,0,3,Apparel,Chicago,United States,David,1633,Flores,Home Office,Chicago State,615 Elm St,67062,30,Fashion,13.7375,-53.6517,USCA,Los Angeles,United States,1633,0.0,0.0,95.84,0.3382,10,958.4,958.4,324.17,North America,Los Angeles Province,Complete,Men's Jacket,95.84,Second Class
Credit,6,5,62.88,923.66,Delivered,1,7,Automotive,Port Elizabeth,South Africa,Barbara,1676,Nelson,Consumer,Port Elizabeth State,47 Oak St,74080,70,Auto Parts,24.9981,-9.7853,Africa,Kisumu,Kenya,1676,0.0,0.0,62.99,0.3327,3,188.97,188.97,62.88,West Africa,Kisumu Province,Complete,Jump Starter Kit,62.99,Standard Class
Debit,9,5,104.14,2530.29,Shipped,1,6,Health & Beauty,Toronto,Canada,Maria,1401,Moore,Consumer,Toronto State,758 Pine St,11845,60,Health,55.9608,87.3282,USCA,Vancouver,Canada,1401,0.0,0.0,41.63,0.3574,7,291.41,291.41,104.14,North America,Vancouver Province,Complete,Face Serum,41.63,Standard Class
Transfer,8,5,-86.25,379.7,Delivered,1,10,Garden & Tools,London,United Kingdom,Donald,1033,Davis,Corporate,London State,301 Oak St,67433,100,Hardware,48.3868,69.2036,Europe,Madrid,Spain,1033,177.31,0.2,147.76,-0.1216,6,709.25,709.25,-86.25,Northern Europe,Madrid Province,Complete,Tool Set 128pc,147.76,Standard Class
Transfer,5,3,15.19,2918.72,Delivered,1,3,Apparel,Houston,United States,David,1374,Flores,Home Office,Houston State,161 Cedar St,43801,30,Fashion,-18.4326,77.215,USCA,Vancouver,Canada,1374,11.05,0.1,110.51,0.1528,1,99.46,99.46,15.19,North America,Vancouver Province,Complete,Women's Blazer,110.51,Second Class
Debit,5,3,-63.57,1492.09,Delivered,1,5,Home & Kitchen,Phoenix,United States,Betty,1764,Williams,Home Office,Phoenix State,874 Cedar St,22416,50,Home,16.9424,-77.0559,USCA,Phoenix,United States,1764,136.39,0.25,60.62,-0.1554,9,409.18,409.18,-63.57,North America,Phoenix Province,Complete,Knife Set,60.62,Second Class
Transfer,2,1,-6.51,7137.71,Delivered,0,8,Books,Nagoya,Japan,Nancy,1457,Adams,Home Office,Nagoya State,673 Pine St,11461,80,Media,11.9581,18.7237,Pacific Asia,Guangzhou,China,1457,19.92,0.15,22.13,-0.0577,6,112.86,112.86,-6.51,East Asia,Guangzhou Province,Complete,Leadership 101,22.13,Same Day
Credit,3,3,-110.4,5324.25,Delivered,0,5,Home & Kitchen,Adelaide,Australia,Matthew,1420,Scott,Home Office,Adelaide State,107 Elm St,96732,50,Home,34.4648,-6.1439,Pacific Asia,Tokyo,Japan,1420,175.78,0.2,125.56,-0.157,7,703.14,703.14,-110.4,East Asia,Tokyo Province,Complete,Instant Pot,125.56,Second Class
Debit,3,2,113.11,4312.65,Delivered,0,3,Apparel,Montreal,Canada,Charles,1126,Young,Consumer,Montreal State,472 Cedar St,39038,30,Fashion,62.904,-155.2559,USCA,Ottawa,Canada,1126,0.0,0.0,58.66,0.3214,6,351.96,351.96,113.11,North America,Ottawa Province,Complete,Casual Sneakers,58.66,First Class
Credit,1,1,257.03,6461.26,Delivered,0,9,Toys & Games,Cape Coast,Ghana,Matthew,1734,Nguyen,Consumer,Cape Coast State,437 Elm St,20013,90,Toys,-44.8465,-125.3811,Africa,Cape Town,South Africa,1734,0.0,0.0,83.11,0.3093,10,831.1,831.1,257.03,West Africa,Cape Town Province,Complete,RC Car,83.11,Same Day
Credit,2,1,-92.2,2418.05,Delivered,1,1,Furniture,Cologne,Germany,Nancy,1432,Allen,Home Office,Cologne State,913 Pine St,76074,10,Office Supplies,54.5808,-27.654,Europe,Madrid,Spain,1432,158.16,0.3,175.73,-0.2499,3,369.03,369.03,-92.2,Southern Europe,Madrid Province,Complete,Bookshelf Unit,175.73,Same Day
Credit,1,1,453.09,6241.98,Delivered,0,1,Furniture,Abuja,Nigeria,Sarah,1541,Davis,Corporate,Abuja State,581 Pine St,67503,10,Office Supplies,35.3145,-162.74,Africa,Cairo,Egypt,1541,0.0,0.0,817.89,0.277,2,1635.78,1635.78,453.09,South Africa,Cairo Province,Complete,Conference Table,817.89,Same Day
Credit,6,5,-143.26,1282.13,Delivered,0,10,Garden & Tools,Cologne,Germany,Charles,1403,Young,Corporate,Cologne State,181 Main St,15992,100,Hardware,-21.2337,-71.1186,Europe,Paris,France,1403,231.58,0.3,96.49,-0.2651,8,540.34,540.34,-143.26,Western Europe,Paris Province,Complete,Cordless Drill,96.49,Standard Class
Transfer,6,5,5.29,2768.77,Delivered,1,7,Automotive,Vancouver,Canada,Dorothy,1175,Jones,Consumer,Vancouver State,743 Elm St,14847,70,Auto Parts,-21.8525,-155.1059,USCA,Toronto,Canada,1175,147.71,0.2,82.06,0.009,9,590.83,590.83,5.29,North America,Toronto Province,Complete,Dash Cam HD,82.06,Standard Class
Transfer,5,3,139.68,4707.5,On Hold,1,7,Automotive,Ottawa,Canada,Nancy,1716,Jones,Home Office,Ottawa State,756 Elm St,54392,70,Auto Parts,29.5891,78.7578,USCA,Toronto,Canada,1716,32.52,0.05,65.04,0.2261,10,617.88,617.88,139.68,North America,Toronto Province,Complete,Jump Starter Kit,65.04,Second Class
Debit,2,2,-32.64,7779.77,Processing,0,8,Books,Buenos Aires,Argentina,Donald,1330,Harris,Corporate,Buenos Aires State,802 Pine St,52899,80,Media,-48.7699,-14.7063,LATAM,Mexico City,Mexico,1330,36.73,0.3,30.61,-0.3808,4,85.71,85.71,-32.64,South America,Mexico City Province,Complete,Business Strategy,30.61,First Class
Debit,5,2,-15.15,7330.18,Delivered,1,4,Sporting Goods,Turin,Italy,Linda,1687,Garcia,Home Office,Turin State,954 Main St,17081,40,Sports,23.8319,-73.0781,Europe,Nice,France,1687,33.39,0.25,33.39,-0.1512,4,100.17,100.17,-15.15,Western Europe,Nice Province,Pending,Yoga Mat,33.39,First Class
Transfer,3,2,51.81,7034.33,Delivered,0,6,Health & Beauty,Naples,Italy,Mark,1464,Thomas,Consumer,Naples State,705 Pine St,72908,60,Health,0.1703,-48.0279,Europe,Hamburg,Germany,1464,30.49,0.1,43.56,0.1888,7,274.43,274.43,51.81,Southern Europe,Hamburg Province,On Hold,Protein Powder 2lb,43.56,First Class
Transfer,1,1,21.67,1374.84,Processing,0,2,Technology,Lagos,Nigeria,Betty,1017,Martin,Consumer,Lagos State,788 Cedar St,26483,20,Electronics,-43.3091,-8.404,Africa,Nakuru,Kenya,1017,13.76,0.05,55.05,0.0829,5,261.49,261.49,21.67,West Africa,Nakuru Province,Complete,Wireless Mouse,55.05,Same Day
Transfer,1,1,1.78,4833.58,Delivered,0,7,Automotive,Toulouse,France,Susan,1342,Wright,Home Office,Toulouse State,970 Main St,86326,70,Auto Parts,16.1954,141.9257,Europe,Toulouse,France,1342,32.06,0.15,35.62,0.0098,6,181.66,181.66,1.78,Western Europe,Toulouse Province,Complete,Car Vacuum,35.62,Same Day
Debit,4,3,402.46,988.05,On Hold,1,10,Garden & Tools,Frankfurt,Germany,James,1532,Garcia,Consumer,Frankfurt State,298 Pine St,26389,100,Hardware,32.9755,77.2164,Europe,Paris,France,1532,0.0,0.0,351.93,0.2859,4,1407.72,1407.72,402.46,Northern Europe,Paris Province,Complete,Lawn Mower Electric,351.93,Second Class
Transfer,3,3,93.31,1643.61,Delivered,0,10,Garden & Tools,Johannesburg,South Africa,Nancy,1402,Smith,Home Office,Johannesburg State,761 Oak St,39657,100,Hardware,30.1582,-52.9211,Africa,Nairobi,Kenya,1402,174.19,0.1,348.38,0.0595,5,1567.71,1567.71,93.31,West Africa,Nairobi Province,On Hold,Lawn Mower Electric,348.38,Second Class
Debit,8,5,38.19,2805.62,Shipped,1,10,Garden & Tools,Montreal,Canada,John,1757,Johnson,Consumer,Montreal State,614 Main St,26803,100,Hardware,48.8014,-51.3819,USCA,Houston,United States,1757,102.22,0.1,340.74,0.0415,3,920.0,920.0,38.19,North America,Houston Province,Complete,Lawn Mower Electric,340.74,Standard Class
Credit,1,1,198.78,4624.68,Delivered,0,5,Home & Kitchen,Vancouver,Canada,Dorothy,1175,Jones,Consumer,Vancouver State,743 Elm St,14847,50,Home,-21.8525,-155.1059,USCA,New York,United States,1175,0.0,0.0,84.51,0.2352,10,845.1,845.1,198.78,North America,New York Province,Pending,Coffee Maker,84.51,Same Day
Debit,3,2,45.33,3041.46,Delivered,0,4,Sporting Goods,Guangzhou,China,Jennifer,1516,Thomas,Home Office,Guangzhou State,996 Cedar St,36077,40,Sports,14.991,50.9543,Pacific Asia,Hyderabad,India,1516,14.03,0.05,140.33,0.17,2,266.63,266.63,45.33,South Asia,Hyderabad Province,Closed,Fitness Tracker,140.33,First Class
Transfer,9,5,-13.24,2106.07,Delivered,1,6,Health & Beauty,Seoul,South Korea,Susan,1728,Thompson,Home Office,Seoul State,599 Main St,44018,60,Health,-38.8299,-150.1065,Pacific Asia,Hyderabad,India,1728,34.81,0.3,58.02,-0.163,2,81.23,81.23,-13.24,East Asia,Hyderabad Province,Complete,Electric Toothbrush,58.02,Standard Class
Credit,3,2,72.65,7126.36,Processing,0,7,Automotive,Houston,United States,Matthew,1212,Miller,Corporate,Houston State,523 Cedar St,71814,70,Auto Parts,53.4663,80.1847,USCA,Chicago,United States,1212,52.46,0.1,74.94,0.1539,7,472.12,472.12,72.65,North America,Chicago Province,Pending,Jump Starter Kit,74.94,First Class
Debit,1,2,825.46,1059.49,Shipped,0,10,Garden & Tools,Pretoria,South Africa,Susan,1283,Jackson,Corporate,Pretoria State,800 Cedar St,75597,100,Hardware,-40.4032,169.2189,Africa,Tamale,Ghana,1283,0.0,0.0,341.09,0.242,10,3410.9,3410.9,825.46,East Africa,Tamale Province,Pending,Lawn Mower Electric,341.09,First Class
Transfer,6,3,-26.28,1895.14,Delivered,1,8,Books,Cape Town,South Africa,Daniel,1478,Thompson,Consumer,Cape Town State,922 Cedar St,29249,80,Media,-52.7314,-82.1917,Africa,Ibadan,Nigeria,1478,72.24,0.15,48.16,-0.0642,10,409.36,409.36,-26.28,West Africa,Ibadan Province,Complete,Data Science Handbook,48.16,Second Class
Transfer,7,5,-1033.29,1312.63,Delivered,1,2,Technology,Houston,United States,Jennifer,1501,Wilson,Consumer,Houston State,401 Oak St,98724,20,Electronics,31.1529,102.0549,USCA,New York,United States,1501,1609.68,0.25,1073.12,-0.214,6,4829.04,4829.04,-1033.29,North America,New York Province,Complete,Laptop 15in,1073.12,Standard Class
Debit,6,2,-3.55,4856.9,Shipped,1,4,Sporting Goods,Calgary,Canada,Karen,1600,Hill,Consumer,Calgary State,632 Elm St,41179,40,Sports,-31.8064,54.22,USCA,Chicago,United States,1600,37.28,0.15,62.13,-0.0168,4,211.24,211.24,-3.55,North America,Chicago Province,Complete,Bicycle Helmet,62.13,First Class
Debit,1,1,185.5,3797.0,Delivered,0,10,Garden & Tools,Port Elizabeth,South Africa,Donald,1696,Smith,Corporate,Port Elizabeth State,55 Main St,71689,100,Hardware,35.3519,1.4336,Africa,Eldoret,Kenya,1696,78.11,0.05,390.53,0.125,4,1484.01,1484.01,185.5,South Africa,Eldoret Province,Complete,Lawn Mower Electric,390.53,Same Day
Debit,2,2,-42.25,7317.95,Shipped,0,7,Automotive,Suez,Egypt,Ashley,1099,Anderson,Consumer,Suez State,724 Oak St,84946,70,Auto Parts,-10.2138,121.0444,Africa,Suez,Egypt,1099,82.44,0.3,45.8,-0.2196,6,192.36,192.36,-42.25,West Africa,Suez Province,Complete,Tire Inflator,45.8,First Class
Transfer,5,2,4.61,3809.9,Delivered,1,7,Automotive,Toronto,Canada,Richard,1774,Flores,Home Office,Toronto State,872 Oak St,40938,70,Auto Parts,-45.4488,79.7233,USCA,Houston,United States,1774,14.03,0.15,23.38,0.058,4,79.49,79.49,4.61,North America,Houston Province,Complete,Car Phone Mount,23.38,First Class
Transfer,3,2,40.19,5672.27,Delivered,0,8,Books,Ottawa,Canada,Karen,1087,Martin,Corporate,Ottawa State,92 Cedar St,15224,80,Media,55.625,79.7415,USCA,Phoenix,United States,1087,0.0,0.0,31.98,0.2094,6,191.88,191.88,40.19,North America,Phoenix Province,Complete,Python Programming,31.98,First Class
Debit,6,3,227.42,723.71,Delivered,1,3,Apparel,Marseille,France,Christopher,1759,Williams,Home Office,Marseille State,77 Pine St,25003,30,Fashion,-16.1127,-163.2979,Europe,Barcelona,Spain,1759,39.96,0.05,199.82,0.2995,4,759.32,759.32,227.42,Western Europe,Barcelona Province,Pending,Winter Coat,199.82,Second Class
Transfer,1,1,9.45,6765.42,Delivered,0,10,Garden & Tools,Hamburg,Germany,James,1533,Martin,Consumer,Hamburg State,360 Elm St,50838,100,Hardware,42.1443,-0.5454,Europe,Milan,Italy,1533,18.3,0.1,91.5,0.0574,2,164.7,164.7,9.45,Western Europe,Milan Province,Complete,Cordless Drill,91.5,Same Day
Credit,7,5,195.7,3947.64,Delivered,1,5,Home & Kitchen,Córdoba,Argentina,Michael,1698,Thomas,Corporate,Córdoba State,254 Main St,12087,50,Home,2.3718,-66.3556,LATAM,Valparaíso,Chile,1698,0.0,0.0,130.26,0.2146,7,911.82,911.82,195.7,Central America,Valparaíso Province,Closed,Instant Pot,130.26,Standard Class
Debit,5,5,-46.76,4600.83,Delivered,0,2,Technology,Mombasa,Kenya,Anthony,1505,Brown,Consumer,Mombasa State,952 Main St,98580,20,Electronics,64.2514,-2.4939,Africa,Nakuru,Kenya,1505,134.35,0.15,127.95,-0.0614,7,761.3,761.3,-46.76,West Africa,Nakuru Province,Complete,Mechanical Keyboard,127.95,Standard Class
Transfer,2,2,-38.32,4104.98,Shipped,0,10,Garden & Tools,Durban,South Africa,Patricia,1035,Allen,Consumer,Durban State,744 Pine St,36685,100,Hardware,29.3746,119.9904,Africa,Abuja,Nigeria,1035,63.36,0.3,211.19,-0.2592,1,147.83,147.83,-38.32,East Africa,Abuja Province,Complete,Pressure Washer,211.19,First Class
Credit,3,2,92.76,2562.85,Delivered,0,4,Sporting Goods,Seville,Spain,Matthew,1724,Young,Consumer,Seville State,214 Oak St,60039,40,Sports,-22.3698,-3.2009,Europe,Marseille,France,1724,0.0,0.0,97.97,0.3156,3,293.91,293.91,92.76,Northern Europe,Marseille Province,Pending,Running Shoes,97.97,First Class
Debit,5,2,652.21,6673.11,On Hold,1,2,Technology,Shenzhen,China,James,1386,Jackson,Consumer,Shenzhen State,176 Cedar St,38091,20,Electronics,51.4245,50.1092,Pacific Asia,Chennai,India,1386,227.56,0.05,455.11,0.1509,10,4323.55,4323.55,652.21,Oceania,Chennai Province,On Hold,Monitor 27in,455.11,First Class
Debit,3,1,157.33,7394.53,Delivered,1,1,Furniture,Berlin,Germany,Betty,1751,Johnson,Consumer,Berlin State,520 Main St,33474,10,Office Supplies,-10.2577,60.9295,Europe,Toulouse,France,1751,0.0,0.0,281.0,0.2799,2,562.0,562.0,157.33,Southern Europe,Toulouse Province,Complete,Office Chair Pro,281.0,Same Day
Credit,5,5,385.57,1726.6,Delivered,0,10,Garden & Tools,Brasília,Brazil,Sarah,1118,Brown,Consumer,Brasília State,250 Cedar St,27781,100,Hardware,-9.476,-43.8561,LATAM,Córdoba,Argentina,1118,0.0,0.0,180.96,0.2663,8,1447.68,1447.68,385.57,South America,Córdoba Province,Pending,Pressure Washer,180.96,Standard Class
Credit,4,3,25.02,3004.58,Delivered,1,8,Books,Madrid,Spain,Charles,1231,Harris,Home Office,Madrid State,730 Pine St,20237,80,Media,59.2418,-131.849,Europe,Hamburg,Germany,1231,9.31,0.05,26.61,0.1414,7,176.96,176.96,25.02,Western Europe,Hamburg Province,Complete,Business Strategy,26.61,Second Class
